"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.917944500E0,5.538482666E-2,1.374142456E-1,9.796228638E0
1.927985500E0,4.610412598E-2,1.505868530E-1,9.801617432E0
1.938027500E0,4.685256958E-2,1.477427673E-1,9.794132996E0
1.948068500E0,6.256988525E-2,1.478924561E-1,9.809401245E0
1.958109500E0,5.613327026E-2,1.387614441E-1,9.794282684E0
1.968150500E0,4.939727783E-2,1.514849854E-1,9.812245331E0
1.978191500E0,5.134323120E-2,1.597178650E-1,9.808503113E0
1.988232500E0,5.792953491E-2,1.474433899E-1,9.808503113E0
1.998273500E0,5.912704468E-2,1.501377869E-1,9.810299377E0
2.008314500E0,6.227050781E-2,1.492396545E-1,9.789193268E0
2.018355500E0,5.553451538E-2,1.438508606E-1,9.803413696E0
2.028396500E0,5.089416504E-2,1.493893433E-1,9.811047821E0
2.038437500E0,5.643264771E-2,1.531315613E-1,9.805359650E0
2.048478500E0,5.313949585E-2,1.459465027E-1,9.800719299E0
2.058519500E0,5.104385376E-2,1.504371643E-1,9.796977081E0
2.068560500E0,6.571334839E-2,1.517843628E-1,9.800120544E0
2.078601500E0,4.879852295E-2,1.528321838E-1,9.816735992E0
2.088642500E0,5.313949585E-2,1.556762695E-1,9.805509338E0
2.098683500E0,5.029541016E-2,1.510359192E-1,9.807455292E0
2.108724500E0,4.969665527E-2,1.413061523E-1,9.806257782E0
2.118765500E0,4.894821167E-2,1.532812500E-1,9.805359650E0
2.128806500E0,5.209167480E-2,1.517843628E-1,9.798773346E0
2.138847500E0,5.463638306E-2,1.550775146E-1,9.814041595E0
2.148888500E0,5.792953491E-2,1.442999268E-1,9.809550934E0
2.158929500E0,4.400848389E-2,1.481918335E-1,9.798174591E0
2.168970500E0,4.969665527E-2,1.540296936E-1,9.805209961E0
2.179011500E0,5.179229736E-2,1.474433899E-1,9.798923035E0
2.189052500E0,5.164260864E-2,1.550775146E-1,9.811496887E0
2.199094500E0,4.281097412E-2,1.552272034E-1,9.818831635E0
2.209135500E0,4.969665527E-2,1.562750244E-1,9.805509338E0
2.219176500E0,4.251159668E-2,1.478924561E-1,9.810898132E0
2.229217500E0,4.625381470E-2,1.454974365E-1,9.809700623E0
2.239258500E0,5.254074097E-2,1.395098877E-1,9.804461517E0
2.249299500E0,5.508544922E-2,1.541793823E-1,9.808952179E0
2.259340167E0,6.032455444E-2,1.540296936E-1,9.799970856E0
2.269381167E0,4.430786133E-2,1.550775146E-1,9.802216187E0
2.279422167E0,4.984634399E-2,1.552272034E-1,9.802515564E0
2.289463167E0,5.403762817E-2,1.577719116E-1,9.808353424E0
2.299504167E0,6.706054688E-2,1.589694214E-1,9.802365875E0
2.309545167E0,6.706054688E-2,1.507365417E-1,9.802365875E0
2.319586167E0,5.807922363E-2,1.586700439E-1,9.796078949E0
2.329627167E0,5.328918457E-2,1.459465027E-1,9.808652802E0
2.339668167E0,5.568420410E-2,1.601669312E-1,9.808353424E0
2.349709167E0,5.718109131E-2,1.395098877E-1,9.794282684E0
2.359750167E0,5.239105225E-2,1.460961914E-1,9.802964630E0
2.369791167E0,5.029541016E-2,1.505868530E-1,9.815538483E0
2.379832167E0,5.388793945E-2,1.511856079E-1,9.810449066E0
2.389873167E0,5.298980713E-2,1.556762695E-1,9.819580078E0
2.399914167E0,4.954696655E-2,1.442999268E-1,9.824070740E0
2.409955167E0,5.568420410E-2,1.309776306E-1,9.805808716E0
2.419996167E0,5.598358154E-2,1.419049072E-1,9.805958405E0
2.430037167E0,4.760101318E-2,1.451980591E-1,9.816137238E0
2.440078167E0,5.807922363E-2,1.558259583E-1,9.799970856E0
2.450119167E0,5.209167480E-2,1.495390320E-1,9.804611206E0
2.460160167E0,5.029541016E-2,1.438508606E-1,9.802665253E0
2.470201167E0,5.119354248E-2,1.525328064E-1,9.782457275E0
2.480243167E0,4.790039063E-2,1.565744019E-1,9.803413696E0
2.490284167E0,4.969665527E-2,1.604663086E-1,9.815388794E0
2.500325167E0,5.373825073E-2,1.477427673E-1,9.788145447E0
2.510366167E0,5.867797852E-2,1.514849854E-1,9.808802490E0
2.520407167E0,5.583389282E-2,1.520837402E-1,9.798623657E0
2.530448167E0,6.167175293E-2,1.453477478E-1,9.798923035E0
2.540489167E0,5.688171387E-2,1.420545959E-1,9.814041595E0
2.550530167E0,5.748046875E-2,1.513352966E-1,9.793234863E0
2.560571167E0,4.969665527E-2,1.401086426E-1,9.805060272E0
2.570612167E0,3.861968994E-2,1.457968140E-1,9.804012451E0
2.580653167E0,5.837860107E-2,1.434017944E-1,9.803413696E0
2.590694167E0,5.912704468E-2,1.600172424E-1,9.807006226E0
2.600735167E0,5.837860107E-2,1.655557251E-1,9.800719299E0
2.610776167E0,4.805007935E-2,1.528321838E-1,9.801467743E0
