"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.297942988E1,1.533982009E-1,-7.083705813E-2,-2.196135819E-1
3.307899587E1,7.913700342E-1,2.754433751E-1,-2.571301758E-1
3.317856187E1,4.847262204E-1,2.371750772E-1,1.295632124E-1
3.327812787E1,-3.188775182E-1,-3.543227613E-1,9.243157506E-1
3.337769287E1,-6.660043448E-2,-1.152441800E-1,2.178107388E-3
3.347725888E1,2.532000653E-2,1.465804726E-1,8.322741985E-1
3.357682487E1,-2.174902894E-2,6.391122192E-2,7.344274521E-1
3.367638987E1,9.346824884E-2,2.001044601E-1,9.294487834E-1
3.377595587E1,-4.677493125E-2,-3.524902463E-2,4.113121033E-1
3.387552187E1,7.439136505E-1,3.253747225E-1,5.196427107E-1
3.397508833E1,6.469703317E-1,3.373497427E-1,3.580447435E-1
3.407465433E1,-6.373261809E-1,-1.816829741E-1,6.562303901E-1
3.417422033E1,-1.091280505E-1,3.109217994E-2,3.117050827E-1
3.427378533E1,-2.539949417E-1,-1.068951795E-3,-9.691516310E-2
3.437335133E1,-1.229152083E-1,-1.708556265E-1,-1.109238788E-1
3.447291733E1,-2.716886997E-2,-1.353269666E-1,-1.044936925E-1
3.457248233E1,-7.844390720E-2,-2.802241445E-1,1.263631880E-1
3.467204833E1,9.184854031E-1,3.431542516E-1,3.692888096E-2
3.477161433E1,4.340098798E-1,2.385582961E-2,2.591763139E-1
3.487117933E1,-3.815910816E-1,-1.892897785E-1,1.123874068E0
3.497074533E1,5.871411040E-2,-1.969206035E-1,6.172437668E-1
3.507031071E1,1.802862287E-1,2.327159792E-1,1.247080803E0
3.516987571E1,2.877655625E-2,7.098137587E-2,1.042597651E0
3.526944171E1,1.612823308E-1,2.144922167E-1,9.690127969E-1
3.536900671E1,-1.066102684E-1,4.268179089E-2,4.651152492E-1
3.546857271E1,4.866753519E-1,9.455867857E-2,3.383454680E-1
3.556813871E1,1.241453528E0,5.689490438E-1,4.017582238E-1
3.566770371E1,-1.328215957E0,-6.241905093E-1,-4.380651936E-2
3.576726971E1,1.165541112E-1,3.497503996E-1,4.123772085E-1
3.586683471E1,-4.658432603E-1,-2.164686657E-2,-4.640155733E-1
3.596640071E1,-4.973338917E-2,3.883385286E-2,-1.826724410E-1
3.606596571E1,-1.439941674E-1,-8.191938698E-2,-4.546867311E-1
3.616553171E1,-1.494811773E-1,-1.487901509E-1,-1.269314438E-1
3.626509762E1,1.903419346E-1,-9.125073254E-2,-4.417748153E-1
3.636466262E1,1.284001827E0,6.616142392E-1,-4.097393900E-2
3.646422862E1,-8.795225024E-1,-8.680188656E-2,2.777195573E-1
3.656379362E1,-4.475853965E-2,-3.080213666E-1,5.028524399E-1
3.666335963E1,1.632592231E-1,3.743457049E-2,4.960737526E-1
3.676292463E1,-1.559701562E-1,-3.848682344E-2,7.401298285E-1
3.686249062E1,2.115668915E-2,4.650296643E-2,3.791534007E-1
3.696205562E1,7.204452157E-2,8.916865289E-2,4.414605796E-1
3.706162162E1,1.476972550E-1,-1.329820007E-1,-2.340007573E-2
3.716118663E1,1.047385454E0,4.309293032E-1,1.345464736E-1
3.726075263E1,-8.986268044E-1,-4.644204378E-1,-3.803490102E-1
3.736031671E1,1.347397119E-1,3.087532520E-1,3.927298188E-1
3.745988271E1,-2.879224420E-1,3.422560543E-2,-4.278236330E-1
3.755944771E1,-1.598384380E-1,-2.313213050E-2,-2.658799589E-1
3.765901371E1,-9.078536928E-2,-1.075621918E-1,-3.747627735E-1
