"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.712142332E2,2.659606934E-1,4.133100510E1,-2.868652344E0
6.712242762E2,2.971649170E-1,4.122336960E1,-2.719131470E0
6.712343192E2,2.808685303E-1,4.137207413E1,-2.968185425E0
6.712443622E2,3.203887939E-1,4.140256119E1,-2.977676392E0
6.712544052E2,3.398437500E-1,4.134899521E1,-3.139328003E0
6.712644482E2,2.560424805E-1,4.127290726E1,-3.098999023E0
6.712744912E2,2.917175293E-1,4.124893570E1,-3.129653931E0
6.712845342E2,2.917785645E-1,4.120578384E1,-3.256103516E0
6.712945772E2,3.500518799E-1,4.147881699E1,-3.092315674E0
6.713046202E2,2.848205566E-1,4.137913895E1,-3.167861938E0
6.713146632E2,3.523406982E-1,4.140803146E1,-3.175552368E0
6.713247062E2,5.100250244E-1,4.144121933E1,-2.909240723E0
6.713347492E2,4.272918701E-1,4.148152542E1,-2.880798340E0
6.713447922E2,3.379821777E-1,4.133544540E1,-3.078598022E0
6.713548352E2,4.704437256E-1,4.141155624E1,-3.077560425E0
6.713648782E2,3.824615479E-1,4.145038223E1,-2.880050659E0
6.713749212E2,5.471801758E-1,4.139033127E1,-2.954864502E0
6.713849642E2,3.272705078E-1,4.134663773E1,-2.786437988E0
6.713950072E2,3.916015625E-1,4.150324631E1,-2.760025024E0
6.714050502E2,3.391418457E-1,4.154980087E1,-2.918685913E0
6.714150932E2,4.757080078E-1,4.149247360E1,-3.048202515E0
6.714251362E2,4.535827637E-1,4.164954758E1,-2.901962280E0
6.714351792E2,4.262390137E-1,4.153018570E1,-2.975769043E0
6.714452222E2,5.879211426E-1,4.151295090E1,-3.068603516E0
6.714552652E2,5.193481445E-1,4.153643417E1,-3.017730713E0
6.714653082E2,3.785705566E-1,4.146011734E1,-2.937118530E0
6.714753512E2,4.434204102E-1,4.145104599E1,-2.971374512E0
6.714853942E2,3.474731445E-1,4.141559982E1,-2.924453735E0
6.714954372E2,4.406280518E-1,4.142055130E1,-2.919326782E0
6.715054802E2,3.479156494E-1,4.143669510E1,-2.988815308E0
6.715155232E2,4.111480713E-1,4.140318680E1,-2.976150513E0
6.715255662E2,3.369140625E-1,4.147084427E1,-2.832427979E0
6.715356092E2,3.495635986E-1,4.152208328E1,-2.798171997E0
6.715456522E2,3.684082031E-1,4.144927597E1,-2.775146484E0
