"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.555443578E2,1.432877655E2,-4.027830505E1,-4.180279541E1
1.556439238E2,1.433180389E2,-4.378311157E1,-4.180813599E1
1.557434888E2,1.451932373E2,-4.698342896E1,-4.289346313E1
1.558430548E2,1.447834015E2,-4.377581787E1,-4.301641846E1
1.559426198E2,1.444965820E2,-4.378488159E1,-4.273040771E1
1.560421848E2,1.448166504E2,-4.274230957E1,-4.221151733E1
1.561417508E2,1.450222015E2,-4.129592896E1,-4.234774780E1
1.562413158E2,1.457578125E2,-4.054364014E1,-4.213827515E1
1.563408823E2,1.450652924E2,-4.063227844E1,-4.197201538E1
1.564404473E2,1.453017120E2,-4.234921265E1,-4.251535034E1
1.565400133E2,1.456772461E2,-4.339404297E1,-4.210992432E1
1.566395783E2,1.445404510E2,-4.052241516E1,-4.171875000E1
1.567391433E2,1.444915009E2,-4.065808105E1,-4.135162354E1
1.568387093E2,1.444368134E2,-4.006765747E1,-4.157037354E1
1.569382743E2,1.443309174E2,-4.057696533E1,-4.102557373E1
1.570378403E2,1.434960480E2,-4.083528137E1,-4.116867065E1
1.571374053E2,1.429099121E2,-4.146862793E1,-4.054736328E1
1.572369703E2,1.443040009E2,-4.492041016E1,-4.115512085E1
1.573365363E2,1.452102509E2,-4.332693481E1,-4.180328369E1
1.574361013E2,1.443317261E2,-4.143873596E1,-4.099606323E1
1.575356668E2,1.446452026E2,-4.091667175E1,-4.085977173E1
1.576352328E2,1.449444580E2,-3.935844421E1,-4.051757812E1
1.577347978E2,1.452571411E2,-3.896415710E1,-4.020693970E1
1.578343638E2,1.455451050E2,-3.786962891E1,-4.073135376E1
1.579339288E2,1.458093414E2,-3.845301819E1,-4.096859741E1
1.580334938E2,1.474170685E2,-4.088465881E1,-4.158734131E1
1.581330598E2,1.465677643E2,-4.007766724E1,-4.085525513E1
1.582326248E2,1.465998077E2,-3.911764526E1,-4.052120972E1
1.583321898E2,1.464240417E2,-3.897395325E1,-4.105746460E1
1.584317558E2,1.459240265E2,-3.870310974E1,-4.018328857E1
1.585313208E2,1.457507477E2,-3.930593872E1,-4.037380981E1
1.586308856E2,1.453857269E2,-3.915100098E1,-3.990814209E1
1.587304516E2,1.451698761E2,-4.008963013E1,-3.990185547E1
1.588300166E2,1.465070953E2,-4.323335266E1,-4.117156982E1
1.589295816E2,1.471135864E2,-4.144529724E1,-4.070999146E1
1.590291476E2,1.464942474E2,-3.987007141E1,-4.034405518E1
1.591287126E2,1.466269379E2,-3.929664612E1,-4.035101318E1
1.592282776E2,1.469649048E2,-3.793296814E1,-3.964892578E1
1.593278436E2,1.472647247E2,-3.733271790E1,-3.993148804E1
1.594274086E2,1.472936554E2,-3.676855469E1,-3.926269531E1
1.595269736E2,1.476082306E2,-3.763203430E1,-3.986633301E1
1.596265396E2,1.486548920E2,-4.003860474E1,-4.109411621E1
1.597261046E2,1.473761444E2,-3.799642944E1,-4.004010010E1
1.598256696E2,1.478479309E2,-3.755371094E1,-3.992657471E1
1.599252346E2,1.475124207E2,-3.739634705E1,-4.001187134E1
1.600248006E2,1.471179047E2,-3.720587158E1,-3.940332031E1
1.601243656E2,1.463497620E2,-3.777616882E1,-3.917572021E1
1.602239306E2,1.451969910E2,-3.755752563E1,-3.895019531E1
1.603234966E2,1.446392212E2,-4.016726685E1,-3.858984375E1
1.604230616E2,1.460729218E2,-4.309951782E1,-3.959091187E1
1.605226266E2,1.450772247E2,-3.972769165E1,-3.900650024E1
1.606221916E2,1.445158386E2,-3.893237305E1,-3.925936890E1
1.607217576E2,1.445714569E2,-3.783280945E1,-3.921591187E1
1.608213226E2,1.441893005E2,-3.626907349E1,-3.892376709E1
1.609208876E2,1.443231049E2,-3.547355652E1,-3.877368164E1
1.610204526E2,1.431908722E2,-3.475906372E1,-3.879641724E1
1.611200186E2,1.441455994E2,-3.709008789E1,-3.979296875E1
1.612195836E2,1.433321228E2,-3.765650940E1,-4.000918579E1
1.613191486E2,1.423005829E2,-3.716426086E1,-4.002389526E1
1.614187136E2,1.421761932E2,-3.826370239E1,-3.959484863E1
1.615182796E2,1.415485077E2,-3.836819458E1,-3.984942627E1
1.616178446E2,1.406704407E2,-3.965618896E1,-3.974575806E1
1.617174096E2,1.396191559E2,-4.042918396E1,-4.026425171E1
1.618169746E2,1.381457977E2,-4.184620667E1,-4.004339600E1
1.619165396E2,1.379525909E2,-4.527516174E1,-4.005059814E1
1.620161065E2,1.382784882E2,-4.752897644E1,-4.028561401E1
1.621156715E2,1.374276276E2,-4.505453491E1,-4.068099976E1
1.622152365E2,1.368365479E2,-4.459770203E1,-4.057080078E1
1.623148015E2,1.367967072E2,-4.333888245E1,-4.085537720E1
1.624143675E2,1.366302795E2,-4.197285461E1,-4.156771851E1
1.625139325E2,1.369633789E2,-4.138523865E1,-4.179479980E1
1.626134975E2,1.364880371E2,-4.079574585E1,-4.218972778E1
1.627130625E2,1.363583679E2,-4.224957275E1,-4.233929443E1
1.628126275E2,1.369211273E2,-4.380653381E1,-4.336657715E1
1.629121935E2,1.355292511E2,-4.221923828E1,-4.237664795E1
1.630117585E2,1.356239929E2,-4.264077759E1,-4.275253296E1
1.631113221E2,1.346821289E2,-4.304479980E1,-4.210736084E1
1.632108871E2,1.343728638E2,-4.337364197E1,-4.220629883E1
1.633104521E2,1.335030212E2,-4.364819336E1,-4.257015991E1
1.634100171E2,1.334676208E2,-4.396946716E1,-4.259646606E1
1.635095831E2,1.333321838E2,-4.606271362E1,-4.263186646E1
1.636091481E2,1.347653503E2,-4.861038208E1,-4.291198730E1
