"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.238203608E1,-4.485785043E-1,-2.103704669E0,-2.443872433E0
3.248160208E1,-3.876589957E-1,-2.202181429E0,2.283460504E-1
3.258116708E1,-4.155677560E-1,5.925398773E-1,-9.640164113E-1
3.268073308E1,-3.883255783E-1,1.517315917E-1,-1.521667707E-1
3.278029908E1,-2.697536927E-1,1.039033484E0,3.110139853E-1
3.287986487E1,-9.354131480E-1,3.983075794E-1,5.915511131E-2
3.297942988E1,-3.416295679E-1,1.458232141E0,2.148847659E0
3.307899587E1,-1.218722879E0,-1.406657360E0,1.969104250E0
3.317856187E1,-5.124150427E-1,-3.384541205E0,-3.622419094E0
3.327812787E1,1.598304824E0,4.048742218E-1,1.272378684E0
3.337769287E1,-3.376568234E-1,8.558256724E-1,-1.882797593E-1
3.347725888E1,-7.140942813E-1,-1.648081586E-1,-8.334457469E-1
3.357682487E1,-4.715112841E-1,5.941280542E-1,-3.510913861E-1
3.367638987E1,7.326238154E-1,8.806528039E-2,1.222430599E-1
3.377595587E1,9.960997912E-1,1.866640274E0,1.894114879E0
3.387552187E1,-1.092917696E-2,-1.567205969E0,1.984982364E0
3.397508833E1,-1.047545349E0,-1.830712204E0,-3.721597227E0
3.407465433E1,6.932020336E-3,-2.130438139E0,1.648289747E0
3.417422033E1,-2.307204585E-1,7.689250843E-1,-9.123474902E-1
3.427378533E1,-3.388359144E-1,1.641189180E-1,-2.286471820E-1
3.437335133E1,-6.083191735E-1,9.163633579E-1,1.374838275E-1
3.447291733E1,-1.212150170E0,5.007204652E-1,2.497608930E-1
3.457248233E1,-3.540338512E-1,1.364066826E0,1.949150042E0
3.467204833E1,-1.082019655E0,-1.027223716E0,1.539349102E0
3.477161433E1,-7.262958124E-1,-3.340189489E0,-3.264535582E0
3.487117933E1,9.323057914E-1,-2.797161788E-1,9.746799785E-1
3.497074533E1,-9.181322868E-1,8.575124480E-1,2.339903677E-1
3.507031071E1,-5.573571807E-1,-1.220592526E0,-4.213766724E-1
3.516987571E1,1.602259880E-1,6.372601135E-1,-4.979804599E-1
3.526944171E1,1.271898920E0,-8.981345169E-2,-2.044864869E-1
3.536900671E1,8.320643422E-1,1.746335274E0,5.354961956E-1
3.546857271E1,5.306386212E-1,-1.036218049E0,3.245259651E0
3.556813871E1,-3.038586013E-1,-1.801135233E0,-2.947476745E0
3.566770371E1,-1.935197416E-1,-2.976399997E0,-1.715976530E-1
3.576726971E1,2.642755826E-1,3.455246906E-1,-5.121681440E-1
3.586683471E1,-1.515700623E-2,2.479213589E-1,-7.023733914E-1
3.596640071E1,-1.036573926E-1,6.312100726E-1,2.652232701E-1
3.606596571E1,-6.516381244E-1,5.326227276E-1,-2.744922763E-1
3.616553171E1,-9.815188819E-1,8.461516734E-1,1.288446833E0
3.626509762E1,4.560031526E-1,8.385822335E-1,3.151972003E0
3.636466262E1,-1.132106027E0,-2.359327104E0,-1.684643641E0
3.646422862E1,8.580443984E-1,-2.726434452E0,-1.940282739E0
3.656379362E1,1.339303283E-1,1.873272186E0,1.161226623E0
3.666335963E1,-5.659008399E-1,-1.179166027E0,-3.291029316E-1
3.676292463E1,5.929252088E-1,9.848666321E-1,-1.358416954E0
3.686249062E1,6.113797523E-1,8.156851217E-2,4.875811869E-1
3.696205562E1,9.283999975E-1,1.265677775E0,-2.838489908E-1
3.706162162E1,1.282178033E0,2.461137653E-1,2.894652414E0
3.716118663E1,1.768914297E-2,-1.716744854E0,-1.226977394E0
3.726075263E1,-9.694309330E-1,-2.395584372E0,-2.487412555E0
3.736031671E1,2.722352511E-1,-3.536602141E-1,1.391168379E0
3.745988271E1,2.002861395E-1,5.576338271E-1,-1.230235462E0
3.755944771E1,-3.482715663E-1,2.602916553E-1,5.122266161E-1
3.765901371E1,-5.310257068E-1,6.380138196E-1,-9.302101493E-2
3.775857871E1,-1.258421381E0,4.097270454E-1,-7.680317760E-3
3.785814471E1,3.211130038E-1,1.845478616E0,2.856336195E0
3.795770971E1,-1.265353839E0,-1.389922337E0,6.377499640E-2
3.805727571E1,9.504795223E-2,-3.491641438E0,-3.469093990E0
3.815684071E1,1.364309486E0,1.453732709E0,1.526910321E0
3.825640671E1,-1.072897999E0,2.891199633E-2,3.092989969E-1
3.835597171E1,-2.310341616E-1,-3.252231579E-1,-1.288662010E0
3.845553771E1,2.913440980E-1,1.006239448E0,2.732661152E-1
3.855510321E1,7.251168676E-1,-3.046794042E-2,-1.742160362E-1
3.865466921E1,6.302685978E-1,1.492193062E0,2.243018821E0
3.875423421E1,1.544151713E-1,-1.450810563E0,9.476477158E-1
3.885379921E1,-2.102354693E-1,-1.896057178E0,-3.914329641E0
